
# 背景区块的配置文件
# 基于mcscanx分析结果，选取染色体上对应基因的第一个和最后一个

chr04	235985192	238520393	chr05	89127420	77919313
chr01	177745754	179756069	chr01	263221976	261689189
chr02	226660231	227489681	chr04	21034937	23267356
chr01	257237981	259662579	chr05	16839069	18254076
chr02	7313083	10264901	chr04	29042531	25887059
chr01	72781187	78190879	chr02	213991895	211892225
chr03	10161437	12538552	chr06	126316653	127947519
chr01	13199428	16659014	chr05	33280286	36117488
chr02	11039996	22253136	chr05	197970559	185883292
chr01	247942338	252515573	chr05	21179147	18361206
chr03	9637008	38688558	chr08	18392025	3044143
chr04	235545789	235928643	chr05	89236231	93996019
chr01	263545596	301474757	chr05	13038255	960992
chr02	224426294	224827815	chr04	16011093	15055409
chr04	235076669	235495146	chr05	101090117	95339508
chr01	100393815	104124989	chr05	43593097	44784264
chr05	40695082	42005127	chr06	89614367	90338798
chr01	79166192	82359578	chr02	15670012	13962160
chr01	3635462	4144525	chr01	78813994	79779467
chr02	191431054	193577343	chr05	207321134	206112159
chr01	3131661	3450838	chr01	228088856	226688602
chr01	225786615	242895913	chr05	20236510	33124260
chr02	236303593	238275076	chr05	3518540	4544483
chr05	57879365	64457951	chr06	85758193	80992737
chr04	237005472	238418562	chr06	90241588	85971864
chr03	12324004	15125672	chr06	120931084	123310948
chr02	28317840	32416047	chr04	143101873	135253384
chr02	25672897	27242359	chr04	147014326	144062146
chr02	38300581	42362725	chr04	129149685	125170216
chr03	175562023	177176703	chr06	146135846	146803277
chr02	140597842	146529585	chr03	140747563	142885052
chr02	147210539	159658223	chr04	191153761	185126620
chr01	186306392	187840847	chr01	188087101	189667363
chr01	209188508	210401506	chr04	218276481	216110408
